slang,formal,category,length
tgl,tanggal,abreviasi,3
lapakk,lapak,elongasi,6
bget,banget,abreviasi,4
seeh,sih,modifikasi vokal,4
enk,enak,abreviasi,3
knl,kenal,abreviasi,3
slm,salam,abreviasi,3
gt,begitu,abreviasi,2
apun,apapun,abreviasi,4
untk,untuk,abreviasi,4
hy,hai,subtitusi,2
napa,kenapa,abreviasi,4
uhh,uh,elongasi,3
ap,apa,abreviasi,2
siiihh,sih,elongasi,6
da,ada,zeroisasi,2
ygs,sayang,abreviasi,3
qm,kamu,abreviasi,2
yeeee,ya,modifikasi vokal,5
nget,banget,abreviasi,4
krm,kirim,abreviasi,3
sam,sama,abreviasi,3
yaakk,ya,elongasi,5
skg,sekarang,abreviasi,3
plg,pulang,abreviasi,3
lupain,melupakan,afiksasi,6
blim,belum,salah ketik,4
skr,sekarang,abreviasi,3
kpd,kepada,abreviasi,3
hr,hari,abreviasi,2
sp,siapa,abreviasi,2
spy,supaya,abreviasi,3
klkuan,kelakuan,abreviasi,6
gimana,bagaimana,abreviasi,6
nnt,nanti,abreviasi,3
cew,cewek,abreviasi,3
cow,cowok,abreviasi,3
halahh,alah,anaptiksis,6
luu,lu,elongasi,3
yoo,ayo,zeroisasi,3
ginian,beginian,abreviasi,6
lt,lantai,abreviasi,2
cwe,cewek,abreviasi,3
seh,sih,modifikasi vokal,3
mh,mah,abreviasi,2
px,punya,abreviasi,2
kalik,kali,anaptiksis,5
dgr,dengar,abreviasi,3
gmna,bagaimana,abreviasi,4
dah,deh,modifikasi vokal,3
palgi,apalagi,abreviasi,5
jt,juta,abreviasi,2
ngets,banget,abreviasi,5
stp,setiap,abreviasi,3
m,sama,word-value letter,1
lyt,lihat,abreviasi,3
cem,macam,abreviasi,3
yee,ya,modifikasi vokal,3
kemn,kemana,abreviasi,4
km,kami,abreviasi,2
bz,bisa,abreviasi,2
aje,saja,zeroisasi,3
yok,yuk,modifikasi vokal,3
mmz,mas,abreviasi,3
siih,sih,elongasi,4
pu,punya,abreviasi,2
waw,wow,modifikasi vokal,3
bsk,besok,abreviasi,3
mz,mas,abreviasi,2
yeuh,ya,anaptiksis,4
kmn,kemana,abreviasi,3
hri,hari,abreviasi,3
bedain,membedakan,afiksasi,6
ehhh,eh,elongasi,4
dtg,datang,abreviasi,3
tauuu,tau,elongasi,5
ps,pas,abreviasi,2
apal,hapal,zeroisasi,4
dak,indak,abreviasi,3
mknya,makanya,abreviasi,5
syp,siapa,abreviasi,3
hrsnya,harusnya,abreviasi,6
sdg,sedang,abreviasi,3
